STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975Q1,"$24,784 ","$23,545 ","$1,239 ",5.00%,0.222,0
AL,1975Q2,"$25,102 ","$23,847 ","$1,255 ",5.00%,0.225,0
AL,1975Q3,"$25,472 ","$24,199 ","$1,274 ",5.00%,0.228,0
AL,1975Q4,"$25,903 ","$24,608 ","$1,295 ",5.00%,0.232,0
AL,1976Q1,"$26,447 ","$25,125 ","$1,322 ",5.00%,0.237,0
AL,1976Q2,"$27,059 ","$25,696 ","$1,363 ",5.00%,0.242,0
AL,1976Q3,"$27,748 ","$26,135 ","$1,613 ",5.80%,0.248,0
AL,1976Q4,"$28,532 ","$26,654 ","$1,878 ",6.60%,0.255,0
AL,1977Q1,"$29,394 ","$27,217 ","$2,177 ",7.40%,0.263,0
AL,1977Q2,"$30,306 ","$27,804 ","$2,502 ",8.30%,0.271,0
AL,1977Q3,"$31,232 ","$28,388 ","$2,844 ",9.10%,0.28,0
AL,1977Q4,"$32,124 ","$28,945 ","$3,179 ",9.90%,0.288,0
AL,1978Q1,"$33,016 ","$29,468 ","$3,548 ",10.70%,0.296,0
AL,1978Q2,"$33,973 ","$29,978 ","$3,995 ",11.80%,0.304,0
AL,1978Q3,"$35,000 ","$30,524 ","$4,476 ",12.80%,0.313,0
AL,1978Q4,"$35,986 ","$31,152 ","$4,834 ",13.40%,0.322,0
AL,1979Q1,"$36,897 ","$31,886 ","$5,011 ",13.60%,0.33,0
AL,1979Q2,"$37,708 ","$32,707 ","$5,000 ",13.30%,0.338,0
AL,1979Q3,"$38,430 ","$33,568 ","$4,862 ",12.70%,0.344,0
AL,1979Q4,"$39,064 ","$34,425 ","$4,640 ",11.90%,0.35,0
AL,1980Q1,"$39,593 ","$35,239 ","$4,354 ",11.00%,0.354,0
AL,1980Q2,"$40,193 ","$36,006 ","$4,187 ",10.40%,0.36,0
AL,1980Q3,"$40,852 ","$36,720 ","$4,131 ",10.10%,0.366,0
AL,1980Q4,"$41,428 ","$37,379 ","$4,049 ",9.80%,0.371,0
AL,1981Q1,"$41,923 ","$37,990 ","$3,933 ",9.40%,0.375,0
AL,1981Q2,"$42,378 ","$38,577 ","$3,800 ",9.00%,0.379,0
AL,1981Q3,"$42,751 ","$39,184 ","$3,566 ",8.30%,0.383,0
AL,1981Q4,"$43,025 ","$39,851 ","$3,174 ",7.40%,0.385,0
